casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total
599,1,1,2,2,1-15,2935,E,M,135,153,2,1,0,6,297,337,1,0,2,1,0,337
81,4,1,1,1,1-101,1896,B-C,M,172,165,19,2,2,6,366,560,1,0,1,0,0,560
77,4,1,1,1,1-100,1894,B-C,U,143,175,12,2,0,4,336,465,0,0,1,0,0,465
506,1,1,2,2,1-52,2588,B-C,M,157,131,14,10,4,30,346,543,1,0,2,0,0,543
598,1,1,2,2,1-14,2935,B-C,M,186,199,9,1,0,9,404,553,1,0,2,0,0,553
438,1,1,2,2,1-50,2552,B-C,U,158,104,18,4,4,11,299,509,1,0,2,0,0,509
210,4,1,1,1,1-68,2399,B-C,U,92,213,7,2,0,11,325,575,1,0,1,0,0,575
454,1,1,2,2,1-47,2558,B-C,U,154,330,25,5,7,19,540,636,1,0,2,0,0,636
124,4,1,1,1,1-64,2356,B-C,M,144,181,10,27,2,14,378,610,1,0,1,0,0,610
432,1,1,2,2,1-49,2551,B-C,U,155,155,20,8,5,14,357,654,1,0,2,0,0,654
192,4,1,1,1,1-96,2390,B-C,U,219,131,9,2,0,26,387,717,1,0,1,0,0,717
79,4,1,1,1,1-100,1895,B-C,U,152,236,17,1,0,10,416,628,1,0,1,0,0,628
414,1,1,2,2,1-44,2544,B-C,U,146,168,24,5,7,24,374,700,1,0,2,0,0,700
441,1,1,2,2,1-50,2553,B-C,U,216,183,14,4,3,16,436,705,1,0,2,0,0,705
518,1,1,2,2,1-35,2593,E,R,102,215,7,7,2,22,355,550,1,0,2,1,1,550
251,4,1,1,1,1-83,2422,B-C,R,130,112,10,4,2,15,273,506,1,0,1,0,1,506
584,1,1,2,2,1-27,2900,B-C,R,155,191,65,3,3,20,437,661,1,0,2,0,1,661
476,1,1,2,2,1-38,2574,B-C,R,121,133,7,3,2,12,278,508,1,0,2,0,1,508
94,4,1,1,1,1-98,1903,B-C,R,60,114,39,0,0,6,219,389,0,0,1,0,1,389
260,4,1,1,1,1-78,2427,B-C,R,108,103,19,5,2,11,248,500,1,0,1,0,1,500
581,1,1,2,2,1-26,2899,B-C,R,143,62,17,1,2,12,237,377,1,0,2,0,1,377
255,4,1,1,1,1-82,2424,B-C,R,80,109,3,1,1,14,208,433,0,0,1,0,1,433
244,4,1,1,1,1-83,2418,B-C,R,121,162,17,2,6,13,321,498,0,0,1,0,1,498
616,1,1,2,2,1-17,2946,B-C,R,171,136,2,2,1,9,321,410,0,0,2,0,1,410
580,1,1,2,2,1-24,2898,B-C,R,112,104,34,7,1,30,288,505,0,0,2,0,1,505
492,1,1,2,2,1-53,2583,B-C,R,84,161,16,4,3,13,281,539,1,0,2,0,1,539
6426,10,10,20,21,10-40,2331,B-C,U,89,180,9,4,1,8,291,515,1,0,2,0,0,515
6047,10,10,20,20,10-71,2807,B-C,U,178,210,19,6,1,27,441,701,1,0,2,0,0,701
5924,10,10,20,20,10-4,1865,B-C,U,145,200,51,2,6,23,427,723,0,0,2,0,0,723
6012,10,10,20,20,10-65,2793,B-C,U,140,243,26,3,1,16,429,682,1,0,2,0,0,682
6362,10,10,20,21,10-26,2295,B-C,M,51,143,14,4,2,12,226,451,0,0,2,0,0,451
6126,10,10,20,20,10-89,2976,B-C,U,174,184,11,4,0,8,381,447,0,0,2,0,0,447
6010,10,10,20,20,10-64,2792,B-C,U,176,155,10,0,3,5,349,582,1,0,2,0,0,582
6031,10,10,20,20,10-68,2800,B-C,U,190,211,15,4,0,18,438,748,1,0,2,0,0,748
6034,10,10,20,20,10-69,2801,B-C,U,194,244,12,3,1,7,461,670,1,0,2,0,0,670
6015,10,10,20,20,10-65,2794,B-C,U,163,219,17,2,0,8,409,683,1,0,2,0,0,683
6056,10,10,20,20,10-73,2809,B-C,U,120,189,24,4,4,14,355,666,1,0,2,0,0,666
6054,10,10,20,20,10-73,2809,B-C,U,125,190,20,3,1,13,352,666,1,0,2,0,0,666
6336,10,10,20,21,10-20,2282,B-C,U,82,131,25,8,2,15,263,485,0,0,2,0,0,485
6424,10,10,20,21,10-38,2330,B-C,U,147,154,12,6,1,13,333,585,1,0,2,0,0,585
5267,14,10,15,17,10-49,2747,B-C,U,103,214,14,1,2,18,352,517,1,0,2,0,0,517
5307,14,10,15,17,10-59,2771,B-C,U,79,215,14,4,5,20,337,606,1,0,2,0,0,606
6073,10,10,20,20,10-77,2949,B-C,U,149,171,6,31,1,12,370,652,1,0,2,0,0,652
6429,10,10,20,21,10-40,2333,B-C,U,68,176,25,2,1,10,282,546,1,0,2,0,0,546
5963,10,10,20,20,10-11,1883,B-C,U,95,177,23,2,6,11,314,625,1,0,2,0,0,625
