casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total
5750,13,13,19,19,13-62,2831,B-C,U,108,221,63,5,8,15,420,730,1,0,2,0,0,730
4050,8,8,14,13,8-53,2238,B-C,R,115,147,6,3,0,12,283,506,1,0,2,0,1,506
214,4,1,1,1,1-69,2401,B-C,M,143,168,4,3,0,11,329,525,1,0,1,0,0,525
1408,5,5,5,5,5-61,1784,B-C,U,129,139,6,3,3,6,286,476,0,0,1,0,0,476
4068,8,8,14,13,8-63,2246,B-C,U,90,186,13,1,0,11,301,595,1,0,2,0,0,595
3008,7,7,10,10,7-35,2459,B-C,U,91,237,3,1,1,9,342,473,0,0,1,0,0,473
3680,15,9,12,12,9-78,1060,B-C,U,187,230,20,8,7,8,460,710,1,0,1,0,0,710
2613,2,2,9,9,2-15,175,B-C,M,162,195,9,5,3,26,400,702,1,0,2,0,0,702
1117,6,3,4,4,3-29,1343,B-C,U,163,179,3,2,1,6,354,540,1,0,1,0,0,540
5200,2,2,17,17,2-68,622,B-C,M,52,164,17,3,5,16,257,475,0,0,2,0,0,475
5719,13,13,19,19,13-56,2817,B-C,M,45,237,76,7,4,42,411,644,1,0,2,0,0,644
6002,10,10,20,20,10-62,2790,B-C,U,160,190,6,1,1,13,371,673,1,0,2,0,0,673
4624,8,8,17,15,8-10,2914,B-C,M,79,236,18,19,3,8,363,539,1,0,2,0,0,539
6472,14,14,22,22,14-2,61,B-C,U,130,165,21,9,4,9,338,485,0,0,2,0,0,485
2631,2,2,9,9,2-16,185,B-C,U,202,118,4,2,0,14,340,653,1,0,2,0,0,653
2518,9,7,13,8,7-97,2723,B-C,R,133,151,10,3,1,11,309,617,0,0,1,0,1,617
2784,1,4,8,9,4-30,802,B-C,M,164,127,10,5,4,29,339,531,1,0,1,0,0,531
4412,12,12,15,15,12-48,377,B-C,U,130,188,16,9,2,7,352,498,0,0,2,0,0,498
6204,10,13,19,21,13-24,673,B-C,U,120,166,14,1,2,7,310,429,0,0,2,0,0,429
4750,12,12,16,16,12-30,359,B-C,U,127,229,33,6,5,10,410,628,1,0,2,0,0,628
453,1,1,2,2,1-47,2558,B-C,U,145,162,17,5,10,17,356,636,1,0,2,0,0,636
5073,14,14,9,17,14-54,290,B-C,U,109,187,34,4,2,8,344,544,1,0,2,0,0,544
1411,5,5,7,5,5-39,1786,B-C,U,185,191,9,0,3,14,402,619,1,0,1,0,0,619
5402,13,11,10,18,11-90,730,B-C,R,29,15,10,1,0,1,56,85,0,0,1,0,1,85
5700,13,13,19,19,13-52,1195,B-C,M,128,169,9,2,5,10,323,644,1,0,2,0,0,644
4089,8,8,14,13,8-58,2258,B-C,R,54,216,12,5,1,13,301,435,0,0,2,0,1,435
1648,6,6,6,6,6-65,1540,B-C,U,109,108,18,5,2,6,248,422,0,0,1,0,0,422
1689,11,6,6,6,6-54,1568,B-C,U,145,153,7,2,3,6,316,467,0,0,1,0,0,467
4541,12,13,15,15,13-13,491,B-C,U,129,165,18,4,0,13,329,580,1,0,2,0,0,580
3318,15,9,12,11,9-66,1052,B-C,U,170,207,8,8,2,9,404,694,1,0,1,0,0,694
6033,10,10,20,20,10-69,2801,B-C,U,149,244,19,1,2,16,431,671,1,0,2,0,0,671
3428,9,9,11,11,9-5,1122,B-C,R,63,239,4,4,1,17,328,590,1,0,1,0,1,590
5694,13,13,19,19,13-50,1192,B-C,R,51,178,19,5,2,11,266,485,1,0,2,0,1,485
5928,10,10,20,20,10-3,1867,B-C,U,105,190,27,4,8,10,344,516,1,0,2,0,0,516
528,1,1,2,2,1-57,2598,B-C,R,200,133,22,6,2,16,379,675,1,0,2,0,1,675
5326,7,11,10,18,11-98,571,B-C,U,353,391,5,5,0,11,765,636,1,0,1,0,0,636
4586,12,13,15,15,13-15,534,B-C,R,54,171,4,3,1,5,238,381,0,0,2,0,1,381
1565,5,6,5,5,6-82,1858,B-C,U,178,137,9,1,2,8,335,509,1,0,1,0,0,509
2594,2,2,9,9,2-14,169,B-C,U,149,210,22,6,3,17,407,675,1,0,2,0,0,675
1998,6,6,21,7,6-42,1531,B-C,U,150,196,17,6,5,6,380,584,1,0,1,0,0,584
4692,12,12,16,16,12-31,338,B-C,U,144,203,38,6,3,21,415,615,1,0,2,0,0,615
6689,14,14,22,22,14-92,1232,B-C,R,49,94,21,1,2,5,172,389,0,0,2,0,1,389
