casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total
238,4,1,1,1,1-75,2414,B-C,R,190,82,23,3,1,31,330,564,1,0,1,0,1,564
170,4,1,1,1,1-84,2381,S,U,120,95,11,2,1,10,239,0,0,0,1,0,0,239
268,4,1,1,1,1-89,2432,B-C,R,149,184,11,2,1,18,365,661,0,0,1,0,1,661
2796,1,4,1,9,4-28,808,B-C,R,88,198,4,4,5,10,309,540,1,0,1,0,1,540
221,4,1,1,1,1-79,2406,B-C,R,121,62,27,6,0,17,233,555,1,0,1,0,1,555
63,1,4,1,1,4-25,797,E,R,116,96,5,2,0,12,231,333,1,0,1,1,1,333
244,4,1,1,1,1-83,2418,B-C,R,121,162,17,2,6,13,321,498,0,0,1,0,1,498
270,4,1,1,1,1-92,2434,B-C,R,172,55,11,3,1,11,253,386,0,0,1,0,1,386
114,4,1,1,1,1-65,2350,B-C,M,170,196,11,16,1,15,409,645,1,0,1,0,0,645
264,4,1,1,1,1-77,2429,B-C,R,184,194,43,3,2,22,448,478,0,0,1,0,1,478
251,4,1,1,1,1-83,2422,B-C,R,130,112,10,4,2,15,273,506,1,0,1,0,1,506
2791,1,4,1,9,4-29,804,B-C,R,125,131,6,1,1,5,269,472,1,0,1,0,1,472
54,1,4,1,1,4-24,794,B-C,R,135,114,11,4,6,18,288,532,1,0,1,0,1,532
40,1,4,1,1,4-17,785,B-C,R,138,122,8,6,1,6,281,559,1,0,1,0,1,559
37,1,4,1,1,4-18,782,B-C,R,79,136,4,2,1,13,235,461,0,0,1,0,1,461
282,4,1,1,1,1-90,2441,B-C,R,94,132,8,3,0,21,258,527,1,0,1,0,1,527
113,4,1,1,1,1-63,2349,B-C,U,175,170,13,24,2,18,402,610,1,0,1,0,0,610
